ID;азвание;усское название;ртикул;роизводитель;ренд;атегория;аличие;ена
2000040010;Газ,  Газ на стекле. 60 сантиметров. Цвет: белый с серебристыми ручками. Газ-контроль. Автоматический электроподжиг. 1 скоростная, 2 полускоростные конфорки, 1 вспомогательная. 4 чугунные держателя для посуды. Комплект форсунорк для балонного газа;Встраиваемая газовая панель CANDY;CVG64SGB;Candy;;Бытовая техника и электроника;0;ет цены
2000043368;ВЫТЯЖКА MAUNFELD CASCADA MINI 60 ЧЕРНОЕ стекло/ • Тип: настенная • Цвет:  черный • Управление: кнопочное • Ширина, мм: 600 • Полная потребляемая мощность, Вт: 180• Количество скоростей: 3 • Максимальная производительность, м3/ч: 650• Диаметр воздуховода, мм: 120 • Площадь кухни: до 25 м2 • Уровень шума, Дб: 54 • Освещение, Вт: галоген 2x20 • В комплекте: переходник, кожух, инструкция на • русском языке • В опции: угольный фильтр• Сделано в Польше;ВЫТЯЖКА MAUNFELD CASCADA MINI 60 ЧЕРНОЕ стекло;CASCADA MINI 60 BLACK glass;Maunfeld;;Бытовая техника и электроника;0;ет цены
2000027135;Встраиваемая электрическая духовка NEFF/ РОЗНИЧНЫЙ ЭКСКЛЮЗИВ!! Компактный духовой шкаф с СВЧ, 6 режимов нагрева, автоматический быстрый разогрев, дисплей;Встраиваемая электрическая духовка NEFF;C17MR02N0;NEFF;;Бытовая техника и электроника;0;ет цены
2000052818;"Мойка AMX 610 3,5"",короб,вент.";Мойка Franke 101.0021.601;101.0021.601;Franke;;Бытовая техника и электроника;0;ет цены
2000052819;"Мойка LLL 611 3,5""лев,короб,вент.";Мойка Franke 101.0086.232;101.0086.232;Franke;;Бытовая техника и электроника;0;ет цены
2000034778;"Индукционные варочные панели Whirlpool/ Индукционная, 5.6x65x51 см, индукционная, 4 зоны с функцией Booster; таймер; индикаторы остаточного тепла; блокировка; скошенные края, черный глянец";Индукционные варочные панели Whirlpool;ACM 836/BA;Whirlpool;;Бытовая техника и электроника;0;ет цены
2000035544;"Встраиваемые электрические духовки INDESIT/ 59.5х59.5x55.1 см, 71 л, гриль, 6 режимов; механическое управление; поворотные переключатели; таймер; очистка паром Diamond Clean, графит";Встраиваемые электрические духовки INDESIT;IFW 4534 H GR;Indesit;;Бытовая техника и электроника;0;ет цены
2000039026;Чайник TEFAL/ нержавеющая сталь, 2400Вт, скрытый нагревательный элемент, 1.5л;Чайник TEFAL;KI330DRU;Tefal;;Бытовая техника и электроника;0;ет цены
2000047868;59.5х59.5x61 см, 58л, 9 режимов работы, механические переключатели, механический таймер, белая эмаль/ручки цвета нержавеющая сталь;Встраиваемые электрические духовки Schaub Lorenz;SLB EW6313;Schaub Lorenz;;Бытовая техника и электроника;0;ет цены
2000047551;Утюг TEFAL/ Утюг, 2500 Вт, подача пара 45 г/мин, удар 195 г/мин;Утюг TEFAL;FV5718E0;Tefal;;Бытовая техника и электроника;0;ет цены
2000049687;ВЫТЯЖКА HOMSair Camelia Power 60 Inox/ полновстраиваемая, кнопочное управление, 3 скорости, 580 м3/ч, до 30 м2, 52 дБ, светодиодное LED-освещение, угольный фильтр CF02X 1 шт., ШхВхД: 650х172х260 мм, нержавеющая сталь;ВЫТЯЖКА HOMSair Camelia Power 60 Inox;Camelia Power 60 Inox;HOMSAir;;Бытовая техника и электроника;0;ет цены
